productId,productName,productBrand,price,description
10000911,Kenneth Cole Women Navy Blue Solid Backpack,Kenneth Cole,2463,Navy Blue backpackNon-Padded haul loop1 main compartment with zip closurePadded backZip PocketPadded shoulder strap: PaddedWater-resistance: No
10000245,Parx Men Green Printed Polo Collar T-shirt,Parx,629,"Green printed T-shirt, has a polo collar, and short sleeves"
10001989,Police Men To Be The King Eau De Toilette 125 ml,Police,2695,To Be The King Eau De Toilette 
10016727,Vishudh Women Maroon Printed Kurta with Palazzos,Vishudh,892,"Maroon printed kurta with palazzos Maroon straight calf length kurta, has a round neck, three-quarter sleeves, straight hem, side slitsMaroon  Printed palazzos, has elasticated waistband, slip-on closure"
10017749,Parx Men Red Slim Fit Checked Casual Shirt,Parx,752,"Red checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
1000795,Being Human Clothing Navy Printed Casual Slim Shirt,Being Human,1079,"Navy blue printed casual shirt, has a spread collar, a full button placket, two pockets, long sleeves, a curved hem"
10003803,Homesake Gold-Toned & White Solid Handcrafted Table Lamp with Shade,Homesake,1620,Type: Handcrafted Table Lamp with ShadeColour: Gold-Toned and whitePattern: SolidShape: FrustumShade material: FabricBase material: AluminiumBulb Holder Type: E27Switch Type: Toggle ButtonComes with bulb
10012765,SEJ by Nisha Gupta Set of 6 Mustard & Blue Printed Table Placemats,SEJ by Nisha Gupta,899,Set content: 6 table mats Shape: Rectangle Colour: Mustard and blue Pattern: Printed Suitable For: 6 seater table Material: Cotton 
10014413,YAK YAK Men Camel Brown Solid Polo Collar T-shirt,YAK YAK,599,"Camel brown solid T-shirt, has polo collar, short sleeves"
10013483,PARFAIT Plus Size Black Striped Non-Wired Lightly Padded T-shirt Bra P5252,PARFAIT,1749,Black striped medium-coverage T-shirt braLightly Padded and Non-Wired seamless cupsRegular straps and back closureBack style: RegularFeature: All Day Comfort
10001265,Michael Kors Women Sexy Amber Eau de Parfum 100ml,Michael Kors,7920,Michael Kors Sexy Amber Eau de ParfumFragrance Notes:Top notes - amberHeart notes - sandalwoodBase - white flowers
10004155,HIGHLANDER Men Mustard & Black Slim Fit Checked Casual Shirt,HIGHLANDER,699,"Mustard and black checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
10012795,SEJ by Nisha Gupta Set of 6 Multicoloured Printed Table Placemats,SEJ by Nisha Gupta,899,Set content: 6 table matsShape: RectangleColour: MulticolouredPattern: PrintedSuitable For: 6 seater tableMaterial: Cotton
10009723,SPYKAR Women Blue Adora Skinny Fit Mid-Rise Clean Look Stretchable Ankle Jeans,SPYKAR,1199,"Blue medium wash 5-pocket mid-rise jeans, clean look, heavy fade, has a button and zip closure, and waistband with belt loops"
10012853,JEWEL JUNCTION Gold-Toned Square Cufflinks,JEWEL JUNCTION,539,A pair of gold-toned square solid cufflinks
10006001,ID Men Tan Brown Fisherman Leather Sandals,ID,2385,A pair of tan brown fisherman sandalsLeather upper with velcro closureCushioned footbedPatterned synthetic outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer
10017377,Story@home Multicoloured Geometric 210TC Cotton 1 King Bedsheet with 2 Pillow Covers,Story@home,1199,Set content: 1 King bedsheet with 2 pillow coversQuality: Fine Thread count: 210Colour: MulticolouredPattern: Geometric
10015839,Raymond Men Blue Slim Fit Printed Formal Shirt,Raymond,1079,"Blue printed formal shirt, has a spread collar, long sleeves, button placket,  straight hem, one patch pocket"
10003123,Gini and Jony Boys Navy Blue Regular Fit Solid Casual Shirt,Gini and Jony,699,"Navy Blue solid casual shirt, has a spread collar, long sleeves, button placket, and curved hem"
